date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:06	42/42	---MCZ	200	added ('OK')	text/plain	etag:W/%2265781f97-16%22	https://localghost.dev/robots.txt		(from )
13:35:06	101181/101181	---MCZ	200	added ('OK')	text/html	etag:W/%22675573fa-18b3d%22	https://localghost.dev/	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/index.html	(from )
13:35:07	161294/161294	---M--	200	added ('OK')	image/png	etag:%2266e81657-2760e%22	https://localghost.dev/img/og-image.png	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/img/og-image.png	(from https://localghost.dev/)
13:35:08	854991/854991	---MCZ	200	added ('OK')	text/xml	etag:W/%22675573fa-d0bcf%22	https://localghost.dev/feed.xml	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/feed.xml	(from https://localghost.dev/)
13:35:08	6696/6696	---MCZ	200	added ('OK')	text/xml	etag:W/%22661647a2-1a28%22	https://localghost.dev/recipes.xml	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/recipes.xml	(from https://localghost.dev/)
13:35:08	502/502	---MCZ	200	added ('OK')	text/xml	etag:W/%22675573fa-1f6%22	https://localghost.dev/books.xml	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/books.xml	(from https://localghost.dev/)
13:35:09	2359/2359	---MCZ	200	added ('OK')	text/xml	etag:W/%2265b93fd0-937%22	https://localghost.dev/musics.xml	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/musics.xml	(from https://localghost.dev/)
13:35:09	825341/825341	---MCZ	200	added ('OK')	text/xml	etag:W/%22674b05e4-c97fd%22	https://localghost.dev/articles.xml	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/articles.xml	(from https://localghost.dev/)
13:35:09	502/502	---MCZ	200	added ('OK')	text/xml	etag:W/%22675573fa-1f6%22	https://localghost.dev/games.xml	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/games.xml	(from https://localghost.dev/)
13:35:09	3768/3768	---MCZ	200	added ('OK')	text/xml	etag:W/%2265881d25-eb8%22	https://localghost.dev/podcasts.xml	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/podcasts.xml	(from https://localghost.dev/)
13:35:10	99313/99313	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267332455-183f1%22	https://localghost.dev/linkss.xml	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/linkss.xml	(from https://localghost.dev/)
13:35:10	6953/6953	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e72bb3-1b29%22	https://localghost.dev/js/main.20140048.js	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/js/main.20140048.js	(from https://localghost.dev/)
13:35:11	41/41	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2013%20Dec%202024%2008:05:11%20GMT	http://gc.zgo.at/count.js	C:/My%20Web%20Sites/DhruvBlog/gc.zgo.at/count.b.delayed	(from https://localghost.dev/)
13:35:11	59910/59910	---MCZ	200	added ('OK')	text/css	etag:W/%22674b01c9-ea06%22	https://localghost.dev/css/style.373e0a0d.css	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/css/style.373e0a0d.css	(from https://localghost.dev/)
13:35:12	9149/9149	---M-Z	200	added ('OK')	application/javascript	etag:%2260a8bc5f5ce6b8127eab061b56e78359-ssl-df%22	https://gc.zgo.at/count.js	C:/My%20Web%20Sites/DhruvBlog/gc.zgo.at/count.js	(from https://localghost.dev/)
13:35:12	200/200	---M--	200	added ('OK')	image/png	etag:%2266e7189f-c8%22	https://localghost.dev/img/garden-icon.png	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/img/garden-icon.png	(from https://localghost.dev/)
13:35:13	1728/1728	---M--	200	added ('OK')	image/png	etag:%2266e718a4-6c0%22	https://localghost.dev/img/city-icon.png	C:/My%20Web%20Sites/DhruvBlog/localghost.dev/img/city-icon.png	(from https://localghost.dev/)
